言为心声 言语是思想的反映，从一个人的话里可以知道他的思想感情。
心贯白日 指心地与太阳一般光明。极喻坦诚，磊落。
心口如一 心里想的和嘴里说的一样。形容诚实直爽。
心术不正 指人用心不忠厚，不正派。
平心而论 平心心情平和，不动感情；论评论。平心静气地给予客观评价。
语重心长 话深刻有力，情意深长。
语长心重 言辞恳切，情意深长。
高下任心 形容能胸有成竹地处理事情。同高下在心”。
心手相应 形容手法熟练，心里怎么想，手就怎么做。
一心同功 同心协力，共赴事功。
同日而言 把不同的人或不同的事放在一起谈论或看待。同同日而论”。
万众一心 千万人一条心。形容团结一致。
漫不经心 漫随便。随随便便，不放在心上。
同心合意 指心志一致。同同心一意”。
开口见心 说话直爽，没有隐曲。
风行一时 风行象刮风一样流行。形容事物在一个时期内非常盛行。
心开目明 犹心明眼亮。形容看问题敏锐，能辨别是非。
居心不良 居心存心；良善。存心不善。指内心存在着恶意或阴谋。
风云不测 比喻变幻莫测的局势。
死心塌地 原指死了心，不作别的打算◇常形容打定了主意，决不改变。
心高气傲 心比天高，气性骄傲。态度傲慢，自以为高人一等。
死心踏地 形容打定了主意，决不改变。同死心塌地”。
死心搭地 形容打定了主意，决不改变。同死心塌地”。
白首之心 老年时的壮志。
心同止水 形容心境平静，毫无杂念。同心如止水”。
见事生风 形容遇到事情，兴风作浪。
民心不壹 人民的心意不一致。
自出心裁 心裁心中的设计、筹划。出于自己的创造。指不抄袭、模仿别人。
见事风生 指遇事雷厉风行。
心如金石 犹心如铁石。比喻心肠硬或意志十分坚决。
同心一德 指思想统一，信念一致。同同心同德”。
风雨不改 比喻处于恶劣环境中不变其节操。
意马心猿 形容心思不定，好象猴子跳、马奔跑一样控制不住。
同德一心 指全心全意为共同目标努力。
云龙风虎 虎啸生风，龙起生云。指同类的事物相感应。
龙虎风云 ①比喻英雄豪杰际遇得时。②指君臣遇合。
心猿意马 心意好象猴子跳、马奔跑一样控制不住。形容心里东想西想，安静不下来。
狼心狗行 心肠似狼，行为如狗。比喻贪婪凶狠，卑鄙无耻。
风虎云龙 虎啸生风，龙起生云。指同类事物相互感应。旧时也比喻圣主得贤臣，贤臣遇明君。
狗行狼心 比喻行为凶狠，心肠毒辣。
文风不动 一点儿也不动。形容没有丝毫损坏或改变。
安心落意 放心，无忧虑。
心不在焉 心思不在这里。指思想不集中。
一门心思 指一心一意。
低心下意 指小心谨慎、专注不移。
众虎同心 许多虎一条心做事。比喻众多有本事的人团结一致，力量会更大。
有口无心 嘴上说了，心里可没那样想。指不是有心说的。
降心下气 指虚心下气。
存心不良 存心怀着某种心思或打算。指存着坏心眼。
一心同归 齐心趋向同一目的。
言与心违 言语与心意相违背。
一身五心 比喻杂念很多。
心长发短 心长智谋深；发短指年老。头发稀少，心计很多。形容年老而智谋高。
发短心长 发短指年老；心长智谋深。头发稀少，心计很多。形容年老而智谋高。
攻心为上 从思想上瓦解敌人的斗志为上策。
心满意足 形容心中非常满意。
一心无二 指一心一意地做某种事情，没有杂念。
目交心通 以眼色传情，心中相互沟通。
心不由主 为情感所激动，指神智不能由自己控制。
云心鹤眼 比喻高远的处世态度。
安心乐意 原指心情安宁，情绪愉快◇多指内心情愿，十分愉快。
天下归心 形容天下老百姓心悦诚服。
不言而信 旧指君子不用说什么就能得到别人的信任。形容有崇高的威望。
言而不信 说话不讲信用。
风情月意 指男女相互爱恋的情思。同风情月思”。
壮心不已 壮心宏大的志向；已停止。指有抱负的人到了晚年，雄心壮志仍不衰减。
心满意得 心中满足，洋洋得意。
深得人心 得到广大人民的热烈拥护。
风言影语 捕风捉影的话语。
风雨不测 风和云都不可预测。比喻事物或局势像风云变幻那样不可预测。
意气风发 意气意志和气概；风发象风吹一样迅猛。形容精神振奋，气概豪迈。
漠不关心 漠冷淡。态度冷淡，毫不关心。
深入人心 指理论、学说、政策等为人们深切了解和信服。
一心同体 犹言同心同德。指思想统一，信念一致。
白水鉴心 白水清水；鉴照。清澈的水能照见人的心。形容人心像明净的水一样纯洁。
一体同心 一体一个整体；同心齐心。比喻关系密切，共同一心。
龙心凤肝 喻指极珍贵稀有的名菜。
心比天高 形容心地高傲或所想超过现实。
心长力短 心里很想做，但力量够不上。
革心易行 指改正错误思想，改变错误行为。
心术不端 心地不正派；居心不良。
言不顾行 说话与行事不相符合。
风车云马 指神灵的车马。亦用以比喻迅疾、快速。同风车雨马”。
同心合力 团结一致，共同努力。
风马云车 指神灵的车马。
口角生风 比喻说话流利，能说会道。
风雨不透 风刮不进，雨水透不过。形容封闭或包围得十分紧密。
不以为意 不把它放在心上。表示对人、对事抱轻视态度。
惊心夺目 指内心震动很大，引起非常注意。
肝心涂地 犹言肝脑涂地。形容竭尽忠诚，任何牺牲都在所不惜
一见倾心 倾心爱慕。初次见面就十分爱幕。
言不及行 指言行不一。
心花怒发 犹心花怒放。形容极其高兴。
人心如面 心指思想、感情等。指每个人的思想也象每个人的面貌一样，各不相同。
是非之心 分辨是非得失的能力。
心照不宣 照知道；宣公开说出。彼此心里明白，而不公开说出来。
寸心千古 千古时间久远。寸心具有千古识力。
指日誓心 对着太阳发誓，表明忠诚无二。
眼花心乱 形容心神迷惑不定。
一言不发 一句话也不说。
亏心短行 亏损天良，行为恶劣。
正身清心 端正自己的言行，清静内心。比喻修身养性。
口是心非 嘴里说得很好，心里想的却是另一套。指心口不一致。
心到神知 旧时指只诚心敬神，就用不到烦琐的礼仪。比喻对人表示钦佩，不必有什么虚文浮礼。
痛心绝气 形容悲愤到极点。
同心合胆 心志一致。同同心共胆”。
合胆同心 犹言同心同德。
风行雨散 比喻在一起的人分散到四面八方。同风流云散”。
一心一意 只有一个心眼儿，没有别的考虑。
人面狗心 ①比喻容貌美好而才学低下的人。②犹言人面兽心。
狗心狗行 比喻歹毒的心肠、行为。
知无不言 凡是知道的没有不说的。
心如止水 形容心境平静，毫无杂念。
风云之志 像风云那样雄大高远的志向。
众心成城 指万众一心，如坚固城堡。比喻众人团结一致，力量无比强大。
不言而喻 喻了解，明白。不用说话就能明白。形容道理很明显。
二心两意 形容意志不专一、不坚定。
秘而不言 严守秘密，不肯吐露。同秘而不露”。
心腹之交 指知己可靠的朋友。
赤子之心 赤子初生的婴儿。比喻人心地纯洁善良。
心旷神飞 犹言心境愉悦，飘飘欲仙。
开心见胆 形容待人诚恳，显示出真心实意。同开心见诚”。
有心无力 有愿望和打算，但没有力量付诸实现。
大得人心 人心即民心。指受百姓热烈拥护。
计上心来 计计策、计谋。心里突然有了计策。
触目惊心 看见某种严重情况，心里感到震惊。
惊心骇目 指看到后内心感到震惊。同惊心骇瞩”。
不言而谕 谕旧时指上对下的文告、指示。不用说话就能明白。形容道理很明显。
骇目惊心 使人见到非常震惊。
掉以轻心 掉摆动；轻轻率。对事情采取轻率的漫不经心的态度。
风言雾语 指隐约其辞的传闻。
降心相从 降心屈己；从顺从。降低自己去遵从别人。
同心合德 指思想统一，信念一致。同同心同德”。
无所容心 不在意，不留意。
心上心下 形容心神不安。
同心叶力 团结一致，共同努力。同同心协力”。
平心易气 心情平和，态度冷静。同平心静气”。
齐心一力 形容认识一致，共同努力。同齐心协力”。
臣心如水 心地洁净如水。比喻为官清廉。
得手应心 比喻技艺纯熟或做事情非常顺利。同得心应手”。
惊心惨目 眼见之后内心震动，感到悲惨。
木人石心 形容意志坚定，任何诱惑都不动心。
语重心沉 言辞恳切，心情沉重。
齐心同力 形容认识一致，共同努力。同齐心协力”。
空腹高心 腹内空虚而目空一切。形容并无真才实学。
得心应手 得得到，想到；应反应，配合。心里怎么想，手就能怎么做。比喻技艺纯熟或做事情非常顺利。
明心见性 ①佛教语。指屏弃世俗一切杂念，彻悟因杂念而迷失了的本性（即佛性）。②指率真地表现心性。
箕山之风 指隐士的风范。
相习成风 习习惯。指都习惯于某种做法或看法，而成为一种风习。
风流千古 指风雅之事久远流传。
不食之地 不食不生产粮食。指不能耕种的土地。
同心并力 团结一致，共同努力。
风车雨马 指神灵的车马。亦用以比喻迅疾、快速。
心安理得 得适合。自以为做的事情合乎道理，心里很坦然。
不以为然 然是，对。不认为是对的。表示不同意或否定。
自不待言 大家心里明白，不必再用言语解释。
金风玉露 泛指秋天的景物。
心逸日休 指不费心机，反而越来越好。
触目经心 见到而萦烦于心。
心中无数 指对情况了解不清楚，心里没有底。
无风生浪 比喻平白无故地生出事来。有故意制造事端的意思。同无风起浪”。
千里同风 比喻天下太平。
无所用心 没有地方用他的心。指不动脑筋，什么事情都不关心。
言行不符 说的和做的不相符合。
惊心眩目 震动人心，耀人眼目。
眩目惊心 使人眼花心惊。
马耳东风 比喻把别人的话当作耳边风。
东风马耳 比喻把别人的话当作耳边风。
匪石之心 比喻坚贞不渝。
忠心贯日 贯贯通。忠诚之心可以贯通日月。形容忠诚至极。同忠贯白日”。
同心竭力 指齐心尽力。同同心毕力”。
行不副言 指言行不一。
惊心怵目 指看到后内心感到震惊。同惊心骇瞩”。
怵目惊心 看见某种严重情况，心里感到震惊。
言行不贰 犹言言行一致。说的和做的完全一个样。
五心六意 形容心思不定。
人心所归 指众人所归向、拥护的。
耳后生风 像耳后刮风一样。形容激烈、迅速运动时耳后根产生的感觉。
风云月露 指绮丽浮靡，吟风弄月的诗文。
风言醋语 散布嫉妒性的中伤语言。
月露风云 比喻无用的文字。
赤心相待 赤心真诚的心。真心诚意对待别人。
腹心相照 腹心内心；照映照，见。以真心相见。比喻彼此很知心，达到心心相印的程度。
低首下心 首头；下心屈服于人。形容屈服顺从。
成算在心 心中早已经算计好了如何应付的办法。
白藋同心 犹言心如野草。形容不羡荣华的品节。
相帅成风 层层影响成为风气。帅，同率”。
白发丹心 丹心赤诚之心。形容年迈苍老，仍然怀有一颗赤诚之心。
惊心骇神 指内心感到十分震惊。
风前月下 指良辰美景。
正心诚意 原是儒家提倡的一种修养方法，现也泛指心地端正诚恳。
诚心正意 诚真诚。心意真诚恳切。形容对人十分真挚诚恳。亦作诚心诚意”。
淫心匿行 指思想邪乱、行为不正。
心平气和 心情平静，态度温和。指不急躁，不生气。
灰心短气 形容因失败或不顺利而失去信心，意志消沉。同灰心丧气”。
言不尽意 情意曲折深远，言语难以全部表达。常用于书信末尾，表示说的话没能把意思都表达出来。
违心之论 与内心相违背的话。
不一而足 足充足。指同类的事物不只一个而是很多，无法列举齐全。
心惊胆落 形容十分害怕。同心惊胆战”。
风云人物 指活跃一时，言论行为能影响大局的人物。
心事重重 心里挂着很多沉重的顾虑。
闻风而起 闻听到；风风声，消息。一听到风声，就立刻起来响应。
心若死灰 死灰已冷却的灰烬。形容不为外物所动的一种精神状态。现多用以形容灰心失意。
金玉之言 金玉黄金和美玉。象黄金美玉那样珍贵的话语。比喻可贵而有价值的劝告。
闻风而动 风风声，消息。一听到风声，就立刻起来响应。
林下高风 指女子态度娴雅、举止大方。同林下风气”。
风语不透 形容异常严密。
闻风而兴 一听到风声，就立刻起来响应。同闻风而起”。
闻风而至 一听到消息就来。形容行动迅速。
同心共胆 心志一致。亦作同心合胆”。
面是心非 指表面上是一套，心底里又是一套，表里不一。
称心如意 形容心满意足，事情的发展完全符合心意。
骇心动目 犹言惊心动目。
动心骇目 骇目使人看了感到惊骇。看了使人感到心动惊骇。形容感受很深，震动非常大。
腹心之疾 腹心比喻要害处；疾疾患。比喻要害处的祸患。
心腹之疾 指体内致命的疾病。比喻严重的隐患。
金口玉言 旧时俗指皇帝说的话。现在指说出口不能改变的话（用在讽刺）。
开心见肠 形容待人诚恳，显示出真心实意。同开心见诚”。
眼穿心死 眼穿望眼欲穿；心死心如死灰。眼睛望穿，心也死了。形容殷切的盼望落空而极度失望。
风言风语 没有根据的、不怀好意的、带有讥讽的话。另指私下议论暗中传说。
诛心之论 诛惩罚。指不问罪行，只根据其用心以认定罪状。也指揭穿动机的评论。
不知所言 形容说话内容混乱，无法理解。同不知所云”。
密不通风 密严密。形容包围紧密或防卫严密，连风也透不进去。
戮力一心 戮力并力，合力。指齐心协力。
心照神交 心照心里了解；神交忘形之交。心意投合，相知有素的友谊。
毕力同心 犹言齐心协力。
同心毕力 指齐心尽力。
口快心直 有啥说啥，想啥说啥。形容人性情直爽，语言明快。
意转心回 心、意心思；回、转掉转。改变想法，不再坚持过去的意见。
心回意转 心、意心思；回、转掉转。改变想法，不再坚持过去的意见。
口直心快 想什么说什么，为人直爽。
回心转意 心、意心思；回、转掉转。重新考虑，改变原来的想法和态度。
心直口快 性情直爽，有话就说。
戮力同心 戮力并力；同心齐心。齐心合力。
热心苦口 形容热心恳切地再三劝告。
平心定气 指心情平和，态度冷静。
心平气定 心气平定，没有杂念。
风情月思 指男女相互爱恋的情思。亦作风情月意”。
同心协力 心思想；协合。团结一致，共同努力。
协心同力 思想一致，并同努力。同协心戮力”。
协力同心 心思想；协合。团结一致，共同努力。
同心戮力 指齐心合力。
防心摄行 指防止杂念和注意言行。
云散风流 象风和云那样流动散开。比喻事物四散消失。
风流云散 象风和云那样流动散开。比喻在一起的人分散到四面八方。
人心难测 谓人的内心难以探测。
林下风气 林下幽僻之境；风气风度。指女子态度娴雅、举止大方。
心腹之忧 犹心腹之疾。指体内致命的疾病。比喻严重的隐患。
抚心自问 摸着自己的胸口问问自己。表示自我反省。
快心满意 形容心满意足，事情的发展完全符合心意。同快心遂意”。
同心僯力 指齐心合力。同同心戮力”。
长生不死 生命长存，永不死亡。
扪心自问 摸着胸口，自己问自己怎么样。指自己反省。
风行草从 比喻有声望者的言行影响世态俗情。同风行草偃”。
一心一力 犹同心协力。团结一致，共同努力。
心腹之病 指体内致命的疾病。比喻严重的隐患。同心腹之疾”。
披心相付 披心披露真心；相付给人家。形容真心待人。
以心问心 在心中自问自盘算。
兽心人面 面貌虽是人，心却如野兽。形容人凶恶残暴。
人面兽心 面貌虽然是人，但心肠象野兽一样凶狠。形容为人凶残卑鄙。
马牛其风 指马、牛奔逸◇用以表示互不相干。
心如木石 心灵像树木石头一样，毫无情感、欲念。
遇事生风 原形容处事果断而迅速◇指一有机会就挑拔是非，引起事端。
触目伤心 看到某种情况而内心伤悲。
粗心大意 粗粗蔬。指做事马虎，不细心。
风举云飞 凭借风云飞腾而上。同风举云摇”。
风清月白 微风清凉，月色皎洁。形容夜景幽美宜人。同风清月皎”。
月白风清 形容幽静美好的夜晚。
提心在口 心提在口，几乎要跳出来。形容恐惧。
言无不尽 把内心的话说尽，毫不保留。
遂心如意 犹言称心如意。亦作遂心满意”、遂心快意”。
心急如火 心里急得象着了火一样。形容非常着急。
惊心破胆 指内心十分震惊、恐惧。
逞心如意 犹言称心如意。
心照情交 心意投合，相知有素的友谊。同心照神交”。
一言千金 一句话价值千金。常用以形容所言之富有价值。
无为而成 指不倚外力而自然有所成就。
同日而道 把不同的人或不同的事放在一起谈论或看待。同同日而论”。
乐不可言 快乐到了极点，没法用语言来表达。
蛇蝎为心 蝎一种蜘蛛类的毒虫。形容心肠狠毒。
心腹之患 心腹比喻要害。比喻隐藏在内部的严重祸害。也泛指最大的隐患。
趁心如意 称心如意。指符合心意，满足愿望。趁，通称”。
心无二用 指做事要专心，注意力必须集中。
腹心之患 比喻严重的祸患。
胆大心小 形容办事果断，考虑周密。
心乡往之 对某人或某些事物心里很仰慕。
风雨时若 指风调雨顺。
痛心入骨 形容伤心到了极点。
动心怵目 怵目使人看了感到恐惧。看了使人感到内心恐惧。形容感受很深，震动非常大。
伤心惨目 伤心使人心痛；惨目惨不忍睹。形容非常悲惨，使人不忍心看。
成风之斫 形容技艺高超。同成风尽垩”。
不相上下 分不出高低好坏。形容水平相当。
风不鸣条 和风轻拂，树枝不发出声响。比喻社会安定。
言不达意 说的话不能准确地表达思想内容。亦作言不逮意”。
口角风情 口头表示的情爱。
言行相顾 指言行不互相矛盾。
心向往之 对某个人或事物心里很向往。
沉心静气 犹言心平气和。
游心寓目 指留心观看。
好心好意 指怀着善意。
像心如意 指顺心如意。
真心实意 心意真实诚恳，没有虚假。
平心静气 心情平和，态度冷静。
身远心近 指身体相隔虽远，但是双方的心却贴得很近。
以心传心 佛教禅宗用语。指离开语文文字而以慧心相传授。
苦不可言 痛苦或困苦到了极点，已经不能用言语来表达。
心存目想 指凝目注视，用心思索。
贵在知心 以知心交心为贵，指朋友之间心心相印。
雪月风花 ①代指四时景色。②比喻男女情事。
不得而知 得能够。没有办法知道。
心如死灰 死灰已冷却的灰烬。原指心境淡漠，毫无情感。现也形容意志消沉，态度冷漠到极点。
月黑风高 比喻没有月光风也很大的夜晚。比喻险恶的环境。
风清月明 微风清凉，月光明朗。形容夜景美好。同风清月朗”。
不劳而成 不须劳苦就能有成就。
清风明月 只与清风、明月为伴。比喻不随便结交朋友。也比喻清闲无事。
明月清风 只与清风、明月为伴。比喻不随便结交朋友。也比喻清闲无事。
冰心一片 冰心清洁的心。形容性情淡泊，不求名利。
一片冰心 冰心清洁的心。形容性情淡泊，不求名利。
心驰神往 驰奔驰。心神奔向所向往的事物。形容一心向往。
心灰意败 犹心灰意懒。灰心失望，意志消沉。
生而知之 生下来就懂得知识和道理。这是唯心主义者的观点。
蔚成风气 指一件事情逐渐发展盛行，形成一种良好风气。
心往神驰 指一心向往。
心如铁石 心象铁石一样坚硬。比喻心肠硬或意志十分坚决。
遂心满意 形容心满意足，事情的发展完全符合心意。同遂心如意”。
身心交病 交一齐，同时；病困乏。身体和精神都很困乏。
灰心丧气 灰心心如熄灭了的死灰；丧失去。形容因失败或不顺利而失去信心，意志消沉。
心荡神迷 荡摇动。形容心神不定，难以自持。
心烦意乱 意心思。心思烦乱，不知怎样才好。
言行若一 说的和做的完全一个样。指人表里如一。
谈论风生 言谈议论活跃，有风趣。
心慌意乱 心里着慌，乱了主意。
骇目振心 使人见到非常震惊。同骇目惊心”。
举步生风 形容走路特别快或办事干净利索。
苦口婆心 苦口反复规劝；婆心仁慈的心肠。比喻善意而又耐心地劝导。
望风而遁 远远望见敌人的踪影或强大气势，即行遁逃。
心细如发 极言小心谨慎，考虑周密。亦作心细于发”。
心头鹿撞 形容惊慌或激动时心跳剧烈。同心头撞鹿”。
心头撞鹿 心里像有小鹿在撞击。形容惊慌或激动时心跳剧烈。
意乱心忙 犹心忙意乱。心里着慌，乱了主意。
心忙意乱 犹心慌意乱。心里着慌，乱了主意。
触目崩心 看到某种情况而心中极度悲伤。
人心所向 向归向，向往。指人民群众所拥护的，向往的。
闭口不言 紧闭着嘴，什么也不说。
东风人面 指一年一度的春风依旧，而当年邂逅含情之人却不得重见。
不可胜言 说不尽。形容非常多或到达极点。
高而不危 身居高位而没有倾覆的危险。
有嘴无心 犹言有口无心。指不是有心说的。
诚心实意 形容十分真挚诚恳。
不足为意 不值得介意。
神醉心往 心神陶醉向往。
从风而靡 指如风之吹草，草随风倾倒。①比喻强弱悬殊，弱者不堪一击，即告瓦解。②比喻仿效、风行之迅速。
开心见诚 见显现出。披露真心，显示诚意。形容待人诚恳，显示出真心实意。
心细于发 极言小心谨慎，考虑周密。同心细如发”。
伤心蒿目 旧时指志士仁人对艰危时世的关切忧虑。
从风而服 从顺从；服服从。象顺风倒下一样就迅速服从了。
口是心苗 犹言为心声。言语是思想的反映，从一个人的话里可以知道他的思想感情。
心如火焚 心中好像火烧一样。形容焦急万分。
心寒胆落 形容十分惊恐。同心寒胆战”。
赏心悦目 悦目看了舒服。指看到美好的景色而心情愉快。
同心协德 指思想统一，信念一致。同同心同德”。
洞心骇目 形容使人惊异。
风流才子 旧指洒脱不拘，富有才学的人。
风流人物 风流英俊的、杰出的。指对一个时代有很大影响的人物。有时也指举止潇洒或惯于调情的人。
灰心丧意 犹言灰心丧气。形容因失败或不顺利而失去信心，意志消沉。
悦目赏心 看了美好景物而心情舒畅。
目挑心招 挑挑逗；招指勾引。眉目传情，心神招引。
石心木肠 石、木都是硬物，形容坚定不动摇。
木石心肠 形容人心肠硬，不为情感所动。
不知高下 指说话做事不知轻重。
目窕心与 指眉目传情，内心相许。
赏心乐事 赏心心情欢畅。欢畅的心情，快乐的事情。
锦心绣口 锦、绣精美鲜艳的丝织品。形容文思优美，词藻华丽。
绣口锦心 锦、绣精美鲜艳的丝织品。形容文思优美，词藻华丽。
极而言之 从最极端的情况来说。指把话说到头。
望风而降 风踪影。降投降。看见敌人的影子便缴械投降。形容军队毫无士气。
心荡神摇 指神魂颠倒，不能自持。亦指情思被外物吸引而飘飘然。
出头之日 出头摆脱困境等。指从困厄、冤屈、压抑的处境中摆脱出来的日子。
心醉神迷 形容佩服爱幕到极点。同心醉魂迷”。
心花怒放 怒放盛开。心里高兴得象花儿盛开一样。形容极其高兴。
闻风而逃 风风声。听到风声，立即逃跑。
心浮气盛 形容人性情浮躁，态度傲慢。
心浮气粗 形容人不细心，不沉着。同心粗气浮”。
心粗气浮 粗粗疏，轻率；浮浮躁。形容人不细心，不沉着。
粗心浮气 浮浮躁。形容人不细心，不沉着。
人心丧尽 指不得人心到极点。
日出不穷 形容接连不断地出现。
甘心瞑目 瞑目闭上眼睛，指死去。心甘情愿，死了也不遗憾。
火烛小心 火烛泛指能起火的东西。原指谨防失火。亦泛指处事小心谨慎。
木心石腹 犹木人石心。形容意志坚定，任何诱惑都不动心。
望风而逃 远远望见对方的气势很盛，就吓得逃跑了。形容十分怯敌。
心小志大 办事小心，抱负远大。
目注心营 指竭尽心力以赴。
心惊胆寒 形容十分害怕。同心惊胆战”。
贵不可言 旧时多用以称人贵有帝王、母后之相。此话不能直言，故婉称之。
于心无愧 在心里没有什么可惭愧的。
见风是雨 比喻只看到一点迹象就轻率地相信是真的。
一德一心 德心意。大家一条心，为一个共同目标而努力。
心长绠短 比喻力不从心。
一心一德 大家一条心，为一个共同目标而努力。
独出心裁 原指诗文的构思有独到的地方◇泛指想出的办法与众不同。
风俗人情 指一地相沿而成的风尚、礼节、习惯等。
鼓舞人心 鼓舞振作，奋发。振奋人们的信心。增强人们的勇气。
目瞪心骇 因惊恐而楞住的样子。同目眐心骇”。
心慌意急 心里着慌，乱了主意。同心慌意乱”。
心劳意攘 犹心慌意乱。心里着慌，乱了主意。
心如古井 古井年代久远的枯井。内心象不起波澜的枯井。形容心里十分平静或一点也不动情。
心雄万夫 雄雄于，在雄心方面超过。雄心胜过一万个人的心志。形容志向极大。
同心同德 同德为同一目的而努力。指思想统一，信念一致。
全无心肝 比喻不知羞耻。
同德同心 谓思想行动完全一致。同同心同德”。
眼明心亮 心里明白，眼睛雪亮。形容看问题敏锐，能辨别是非。
心明眼亮 心里明白，眼睛雪亮。形容看问题敏锐，能辨别是非。
风景不殊 殊不同。用以悲叹国土破碎或沦亡。
心焦如火 内心焦躁得如着火一般。形容焦灼难忍的心情，亦作心焦如焚”。
专心一志 形容一心一意，集中精力。
遗物识心 指舍弃一切外在形式而彼此心意一致。
三思而行 三再三，表示多次。指经过反复考虑，然后再去做。
心忙意急 犹心慌意乱。心里着慌，乱了主意。
百花生日 旧指阴历二月十二日，即花朝。
触目警心 看到某种情况，心中引起警觉。
别出心裁 别另外；心裁心中的设计、筹划。另有一种构思或设计。指想出的办法与众不同。
口不择言 指情急时说话不能正确用词表达或指说话随便。
谈笑风生 有说有笑，兴致高。形容谈话谈得高兴而有风趣。
心灰意冷 灰心失望，意志消沉。
马耳春风 比喻把别人的话当作耳边风。同马耳东风”。
日丽风清 阳光明丽，清风送爽。形容天气晴和。
佛心蛇口 比喻话虽说得好听，心肠却极狠毒。
心弛神往 弛心神向往。心神奔向所向往的事物。形容一心向往。
老而不死 本是孙子骂旧友原壤年老无德可称术的话，后亦指年老而不利于社会国家或拖累后辈。
蛇心佛口 佛的嘴巴，蛇的心肠。比喻话虽说得好听，心肠却极狠毒。
佛口蛇心 佛的嘴巴，蛇的心肠。比喻话虽说得好听，心肠却极狠毒。
齐心合力 形容认识一致，共同努力。
靡然成风 指群起效尤而成风气。
心满原足 形容心中非常满意。同心满意足”。
满坐风生 座席之间飘来清风，使同座者都能感到。比喻来者神气不凡，光采动人。亦作满座风生”。
同心共济 指齐心协力，克服困难。亦作同心协济”。
言文行远 言辞有文采，才能传播远方或影响后世。
不见天日 比喻社会黑暗，见不到一点光明。
心领神会 领、会领悟，理解。指对方没有明说，心里已经领会。
一寸赤心 一片赤诚的心。同一寸丹心”。
大快人心 快痛快。指坏人坏事受到惩罚或打击，使大家非常痛快。
人心大快 快痛快。指坏人坏事受到惩罚或打击，使大家非常痛快。
心腹重患 指严重隐患或要害部门的大患。
称心快意 遇事如意，心情舒畅。称心恰合心愿。快意心情爽快舒适。
行云流水 形容文章自然不受约束，就象漂浮着的云和流动着的水一样。
流水行云 形容文章自然不受约束，就象漂浮着的云和流动着的水一样。
心孤意怯 指心虚而胆气不壮。
烟花风月 指男女情爱之事。
不毛之地 不生长草木庄稼的荒地。形容荒凉、贫瘠。
南风不竞 南风南方的音乐；不竞指乐音微弱。原指楚军战不能胜◇比喻竞赛的对手力量不强。
触目儆心 看到某种情况而引为儆戒。
安心定志 指安下心来。
随风而靡 靡倒下。顺风倒下。比喻没有主见。
铁肠石心 比喻刚强而不为感情所动的秉性。
口传心授 指师徒间口头传授，内心领会。
铁石心肠 心肠硬得象铁和石头一样。形容心肠很硬，不为感情所动。
真心诚意 心意真实诚恳，没有虚假。
仙风道气 犹仙风道骨。仙人的风度，道长的气概。形容人的风骨神采与众不同。
铁心石肠 犹言铁石心肠。
不可言传 言言语。指对某些事理只能揣摩领悟，不能用言语来表达。
遗风古道 前代留传下来的淳厚古朴的风尚。
胆战心惊 战通颤”，发抖。形容十分害怕。
心惊胆战 战通颤”，发抖。形容十分害怕。
有心有意 犹言诚心诚意。形容十分真挚诚恳。
